iter	Passed	Remaining
0	0	85
1	1	81
2	2	77
3	2	70
4	3	70
5	4	68
6	5	68
7	5	68
8	6	67
9	7	67
10	8	66
11	8	65
12	9	65
13	10	64
14	11	65
15	12	64
16	13	64
17	14	64
18	14	63
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	21	57
27	21	56
28	22	55
29	23	54
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	50
36	28	49
37	29	48
38	30	47
39	31	46
40	32	46
41	32	44
42	32	43
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	25
66	51	25
67	52	24
68	52	23
69	53	23
70	54	22
71	55	21
72	56	20
73	57	20
74	58	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	73	7
91	73	6
92	75	5
93	76	4
94	77	4
95	78	3
96	79	2
97	81	1
98	82	0
99	83	0
